status;id;n_013;original;013__a;013__b;013__c;013__d;260__c;n_500;500__a
TO_UPDATE;165099;1;"WO2004057266-A2; DE10260256-A1; AU2003290103-A1; DE10260256-B4; DE10260256-B9; DE10392656-T";WO2004057266;WO;A2;2004;2004;0;
TO_UPDATE;165100;1;"WO2005029153-A2; DE10343722-A1";WO2005029153;WO;A2;2005;2005;0;
ERROR;165293;1;US61/256,490;;;;;2009;0;
ERROR;165295;1;US61/405,123;;;;;2010;0;
ERROR;165879;1;WO/2010/076;;;;;2009;0;
ERROR;166413;0;;;;;;2001;1;Times Cited: 0
ERROR;166414;0;;;;;;2001;1;Times Cited: 0
TO_UPDATE;167688;1;WO/2009/014779;WO2009014779;WO;;2009;2009;0;
TO_UPDATE;168110;1;WO2011067297-A1;WO2011067297;WO;A1;2011;2011;0;
ERROR;169245;1;2010US-12/779547;;;;;2010;0;
TO_UPDATE;169410;1;WO2006053508-A1;WO2006053508;WO;A1;2006;2006;0;
ERROR;169834;1;Microsoft;;;;;2011;0;
ERROR;169835;1;Technicolor;;;;;2011;0;
ERROR;174018;1;US 61/583,665;;;;;2012;0;
TO_UPDATE;174461;1;US2009300347;US2009300347;US;;2009;2011;0;
TO_UPDATE;174462;1;PCT/IB2010/055047;PCT/IB2010/055047;;;;2010;1;Patent application filled the 5 November 2010
TO_UPDATE;174745;1;WO/2009/125237;WO2009125237;WO;;2009;2009;0;
TO_UPDATE;174747;1;WO/2005/076032;WO2005076032;WO;;2005;2005;0;
TO_UPDATE;174748;1;WO/2009/118323;WO2009118323;WO;;2009;2009;0;
TO_UPDATE;175147;1;US2011289635-A1;US2011289635;US;A1;2011;2011;0;
TO_UPDATE;175343;1;US 2010/0302562 A1;US20100302562;US;A1;2010;2010;0;
TO_UPDATE;175352;1;WO2009003673-A2;WO2009003673;WO;A2;2009;2009;0;
TO_UPDATE;175353;1;WO2008083966-A2;WO2008083966;WO;A2;2008;2008;0;
TO_UPDATE;176182;1;PCT/IB2009/051716;PCT/IB2009/051716;;;;2009;1;(pending)
TO_UPDATE;181030;1;WO 2012/107594 A1;WO2012107594;WO;A1;2012;2012;1;WIPO International Patent Application
TO_UPDATE;181188;1;US8151860;US8151860;US;;;2012;0;
TO_UPDATE;181451;1;US20100240309;US20100240309;US;;2010;2010;0;
TO_UPDATE;181453;1;US20100239103;US20100239103;US;;2010;2010;0;
TO_UPDATE;181455;1;US20100238991;US20100238991;US;;2010;2010;0;
TO_UPDATE;181456;1;US20120099435;US20120099435;US;;2012;2012;0;
TO_UPDATE;181457;1;US20100239055;US20100239055;US;;2010;2010;0;
TO_UPDATE;181458;1;US20110103500;US20110103500;US;;2011;2011;0;
ERROR;181872;1;2012US-13/654055;;;;;2012;0;
TO_UPDATE;182772;1;US 2011/0314251 A1;US20110314251;US;A1;2011;2010;0;
TO_UPDATE;182861;1;WO2012077070;WO2012077070;WO;;2012;2012;1;International Filing Date: 07.12.2011 Publication Date:  14.06.2012
ERROR;183209;1;EP13151702.1;;;;;2013;0;
ERROR;183466;1;1258039;;;;;2012;0;
TO_UPDATE;184005;1;WO/2013/008204;WO2013008204;WO;;2013;2013;0;
TO_UPDATE;185955;1;EP2131697 B1;EP2131697;EP;B1;;2012;1;assigned to Hewlett-Packard
TO_UPDATE;186307;1;WO2011121089-A1;WO2011121089;WO;A1;2011;2011;0;
TO_UPDATE;186751;1;WO2013072401;WO2013072401;WO;;2013;2013;0;
TO_UPDATE;187043;1;EP 2 290 471 A1;EP2290471;EP;A1;;2009;0;
TO_UPDATE;187047;1;EP1 914 194 A1;EP1914194;EP;A1;;2006;0;
TO_UPDATE;187144;1;US2013/0070570A1;US20130070570;US;A1;2013;2011;0;
TO_UPDATE;187264;1;US8462238;US8462238;US;;;2013;1;assigned to EPFL
TO_UPDATE;187938;1;WO2013044399;WO2013044399;WO;;2013;2013;0;
ERROR;188130;1;EP13171364.6;;;;;2013;1;airburr
TO_UPDATE;188131;1;PCT/EP2013/07322;PCT/EP2013/07322;;;;2014;1;NCCR
TO_UPDATE;188170;1;WO/2012/022756;WO2012022756;WO;;2012;2012;0;
TO_UPDATE;188630;1;EP 2449638 B1;EP2449638;EP;B1;;2013;0;
TO_UPDATE;189922;1;WO/2013/131838;WO2013131838;WO;;2013;2013;0;
ERROR;189988;1;13181857.7-1809;;;;;2013;0;
TO_UPDATE;190018;1;WO/2013/084029;WO2013084029;WO;;2013;2013;0;
ERROR;190026;1;BUR920130108US1;;;;;2013;0;
TO_UPDATE;191205;1;WO2013093108A1;WO2013093108;WO;A1;2013;2013;0;
TO_UPDATE;191302;1;WO2013111121-A1;WO2013111121;WO;A1;2013;2013;0;
TO_UPDATE;195677;1;US8402399 B2;US8402399;US;B2;;2013;0;
TO_UPDATE;195678;1;US 8327312 B2;US8327312;US;B2;;2012;0;
TO_UPDATE;196415;1;US20130321923A1;US20130321923;US;A1;2013;2013;1;Application No: 13/888'045. Filed on May 6, 2013. Application type: Utility under 35 USC 111(a).
TO_UPDATE;197155;1;EP2306230B1;EP2306230;EP;B1;;2011;0;
TO_UPDATE;197872;1;US20120195862;US20120195862;US;;2012;2010;1;"Also published as: WO2010121122 (A2); WO2010121122 (A3)"
TO_UPDATE;197874;1;US20120101067;US20120101067;US;;2012;2010;1;"Also published as: US8546382 (B2); US8546382 (X6); WO2010121008 (A2); WO2010121008 (A3)"
TO_UPDATE;197877;1;WO2007002167;WO2007002167;WO;;2007;2007;1;"Also published as: WO2007002167 (A9); WO2007002167 (A3); WO2007002167 (A8); US2010209396 (A1)"
TO_UPDATE;198175;1;FR 2996400;FR2996400;FR;;;2014;0;
TO_UPDATE;198694;1;US20140122882;US20140122882;US;;2014;2014;0;
ERROR;200548;1;US Provisional Patent Application 61/450,780;;;;;2011;0;
ERROR;200552;1;US Provisional Patent Application 61/450,048;;;;;2011;0;
